Source	Target	#inTop50	#inCorpus	judgement	similarity
אונגוואר	טוקום	3	9	True	0.8499225378036499
אונגוואר	לייפניק	7	6	True	0.8487764596939087
אונגוואר	מנאוואראדאק	5	3	True	0.8479577302932739
אונגוואר	נישוויעז	24	1	True	0.8478743433952332
אוסטראה	בהוראדגא	1	2	True	0.9447389245033264
אוסטראה	בלילמושקשבוע	1	0	False	0.9441623091697693
אוסטראה	סערדאהעל	1	1	True	0.9410445690155029
אוסטראה	לדאבוןלבכליודעיוומכיריערכו	1	0	False	0.938138484954834
אוסטראה	דתמוז	5	1	False	0.9366776943206787
אוסטראה	מאושרבחתימת	3	0	False	0.9365465641021729
אוסטראה	פודהייץ	5	1	True	0.9364897012710571
אוסטראה	מעזעריטץ	2	3	True	0.934726357460022
אוסטראה	וליבעק	2	2	True	0.9345265030860901
אוסטראה	יאנאוויטץ	1	3	True	0.9340357780456543
אוסטרהא	סדילקוב	4	6	True	0.9276907444000244
אוסטרהא	קארסאן	16	17	True	0.927635669708252
אוסטרהא	לוקניק	13	3	True	0.9243733882904053
אוסטרהא	ברעסטאוויץ	28	10	True	0.9213050007820129
אוסטרהא	שאקי	25	9	True	0.9212864637374878
אוסטרהא	יאמפאל	7	2	True	0.920748770236969
אוסטרהא	טשערקאססי	25	10	True	0.9201797842979431
אוסטרהא	פאסוואל	12	14	True	0.9170554876327515
אוסטרהא	מיכאלאווא	12	7	True	0.9162346720695496
אוסטרהא	ראדאמישל	23	9	True	0.9148104190826416
אוסטרהא	האמסק	5	14	True	0.9140024185180664
אוסטרהא	זיטיל	24	9	True	0.9130898714065552
אוסטרהא	אנטיפאליע	9	8	True	0.9126027226448059
אוסטרהא	האשט	8	10	True	0.9103149771690369
אוסטרהא	ארהיוב	11	9	True	0.9098145365715027
אוסטרהא	ליובאר	18	6	True	0.909164309501648
אוסטרהא	סטאלבצי	19	11	True	0.9089570045471191
אוסטרהא	פאלאצק	11	12	True	0.9084533452987671
אוסטרהא	פאצעפ	12	13	True	0.9079355001449585
אוקספורד	מאוקספורד	1	5	True	0.8563171029090881
אוקספורד	מליווארנא	3	5	True	0.8525286912918091
אוקספורד	אקספארד	3	7	True	0.8377245664596558
אוקספורד	בפרמא	1	3	True	0.8348808288574219
אוקספורד	שפז	5	0	True	0.8299727439880371
אוקספורד	מונקאטש	10	3	True	0.8268604874610901
אוקספורד	גראץ	1	15	True	0.826722264289856
אוקספורד	בליידען	1	6	True	0.8247402906417847
אוקספורד	באקספורד	2	7	True	0.8243902921676636
אוקספורד	בליוורנו	1	4	True	0.8213849067687988
אזמיר	סאלוניק	3	45	True	0.8416366577148438
אזמיר	איזמיר	6	53	True	0.833678126335144
אזמיר	סמירנא	5	39	True	0.822816789150238
אזמיר	קאנסטאנטינאפיל	1	148	True	0.8134099841117859
אזמיר	סאמאקאף	9	13	True	0.7813646793365479
אזמיר	קאנסטאנטינאפעל	17	31	True	0.7745057940483093
אזמיר	שאלוניק	10	4	True	0.7742133736610413
אזמיר	רומעגיען	13	4	True	0.7723890542984009
אזמיר	צנעה	6	12	True	0.7692751884460449
אזמיר	אדריאנאפאלי	2	12	True	0.7662765979766846
אזמיר	מאגאדאר	3	17	True	0.7660254836082458
אזמיר	טעטואן	4	23	True	0.7641785144805908
אזמיר	סמיעלא	1	20	True	0.7630465030670166
אזמיר	אסטראהאן	4	18	True	0.7626594305038452
אזמיר	טאגאנראג	8	11	True	0.7623502016067505
אזמיר	קאלאראש	20	21	True	0.7605761885643005
אזמיר	ביירוט	6	39	True	0.7577639818191528
אזמיר	בוקארעסט	8	63	True	0.7576000690460205
אזמיר	לאראש	7	11	True	0.7573790550231934
אזמירנה	והארדיכל	2	2	False	0.9345254898071289
אזמירנה	כילבטללעתכזאתאתהמלמדותמכלוכל	1	0	False	0.929905354976654
אזמירנה	שמנהנכם	1	2	False	0.9289034605026245
אזמירנה	טשעכאנאווע	1	1	True	0.9270376563072205
אזמירנה	המחיב	1	1	False	0.9264799356460571
אזמירנה	כהאללאנד	6	2	True	0.9262826442718506
אזמירנה	דיארבכר	1	3	True	0.9247164726257324
אזמירנה	ליגוננו	1	2	False	0.9237841963768005
אזמירנה	בכוללינו	1	3	False	0.9233209490776062
אזמירנה	בהערינגען	6	2	True	0.923261284828186
אזמירנה	מחוזור	2	2	False	0.9227054119110107
אזמירנה	בידעינו	3	2	False	0.9212403297424316
אטוואצק	המאלאיא	1	2	True	0.9292288422584534
אטוואצק	אססואן	1	2	True	0.9275157451629639
אטוואצק	סאראייעווא	7	1	True	0.9266913533210754
אטוואצק	דמוטרוניתא	1	2	False	0.9246570467948914
אטוואצק	לאיירופה	1	0	True	0.9241746664047241
אטוואצק	וויסקאנזין	4	1	True	0.9239930510520935
אטוואצק	נפששוכניםבתוך	1	0	False	0.9237818717956543
אטוואצק	מאליאט	1	1	True	0.9232028722763062
אטוואצק	וקאלאראדא	1	2	True	0.9216192960739136
אטוואצק	האסקימאס	3	2	False	0.9207921028137207
אטוואצק	והיוקרהתאמרעדלגבולותאשכנז	1	0	False	0.9205355644226074
איגלוי	קומאסי	10	0	True	0.9277819395065308
איגלוי	סעראיי	6	2	True	0.9216243624687195
איגלוי	קארלובה	2	2	True	0.9211555123329163
איגלוי	מילאסלאוו	3	0	True	0.9209316968917847
איגלוי	דורוהוי	12	2	True	0.9199730157852173
איגלוי	ראיגאראד	6	1	True	0.9174531698226929
איגלוי	פלורינץ	2	2	True	0.9168849587440491
איגלוי	התאכסנה	1	2	False	0.9150980114936829
איגלוי	איפאלשאג	6	2	True	0.9142907857894897
איזמיר	לאראש	7	11	True	0.8758429288864136
איזמיר	סמירנא	5	39	True	0.8710995316505432
איזמיר	סאמאקאף	9	13	True	0.8704816102981567
איזמיר	טעטואן	4	23	True	0.85911625623703
איזמיר	טאנגיער	3	16	True	0.8579034805297852
איזמיר	מאגאדאר	3	17	True	0.8555771708488464
איזמיר	אזמיר	2	118	True	0.833678126335144
איזמיר	קאנסטאנטינאפעל	17	31	True	0.8270700573921204
איזמיר	סאלוניקו	4	21	True	0.822796642780304
איזמיר	אדריאנופול	3	12	True	0.8210127949714661
איזמיר	טאנגיר	12	28	True	0.8192207217216492
איזמיר	טאנגער	2	17	True	0.8185032606124878
איזמיר	פעץ	4	45	True	0.8130896091461182
איזמיר	קארלאווא	8	7	True	0.8128693103790283
איזמיר	מעליטאפאל	8	9	True	0.8060641288757324
איזמיר	רושטשוק	4	20	True	0.805618166923523
איזמיר	פהיליפאפעל	5	19	True	0.8055053949356079
איטליה	דענמארק	1	5	True	0.8842362761497498
איטליה	ודענעמארק	1	9	True	0.8575112819671631
איטליה	בעלגיה	3	15	True	0.8562949299812317
איטליה	דעננעמארק	1	7	True	0.8529582023620605
איטליה	ונארווענען	1	5	True	0.8503414392471313
איטליה	דאניא	1	7	True	0.8498481512069702
איטליה	חיווא	3	3	True	0.8402536511421204
